@relation Train
@attribute Lemmatized string
@attribute subtask_c {IND,OTH,GRP}
@data
'talks bullshit',IND
'cause never happened gonna tweet shit make sure fact face_with_rolling_eyes',IND
'utter left respect support think',GRP
'step show sense india apart working hard india shame liberals',IND
'shit send good guess christian followers trump',GRP
'feel whoever still supports racist half black daughters daughter black dont family doesnt anything wrong supporting',OTH
'damn hope find bitch face_with_tears_of_joy bought lmaoooo',IND
'agree trump nazi control right playbook nazi comes control dems need',IND
'clown need maga nothing nothing less total fraud',IND
'innocent proven guilty think time think lying someone paying',IND
'lying tory party &amp tory party member refuse tory party please total liar corrupt',GRP
'really country taking rest liberals',GRP
'saved evil hillary clinton deep state going personally cant wait hillary brought military treason death believe',IND
'fake conservatives fake outrage budget',GRP
'understand someone know debate willing spend much time trying change mind someone dont know people control stupid wont understand',IND
'qualified politician voted anyone believe democratic party agenda successful president economy idiot gave iran millions support terrorist',IND
'actually control using political accusing instead &amp paid obamas promise arrest kids racist',IND
'thats exactly gets',IND
'true idiot really scary people vote november',IND
'crush beto make look idiot',IND
'crap',IND
'seen antifa burning college time conservative comes speak educate please',GRP
'guys',GRP
'shocking style justice liberals start serving citizens americans great country',OTH
'damn youre fucking',IND
'deal yeah cant find',IND
'elected president doesnt mean start serving people country well serve hiding give break keep',IND
'nigga keep tryna play sides',IND
'happy broken time dropped door damn shit little know going fans thank',OTH
'nigga shit gone',IND
'trump fucking asshole think idiot friends hurt needs educated educate everyday talk everyday stfu',IND
'forget called actually voted doesnt truly',OTH
'dude seriously going sorry liberal self antifa protest',IND
'chicago nearly years crooked democrat leadership &amp strictest control nation blame feet thinking_face make mistake democrats',IND
'scare americans fake democratic platform corrupt problem supporting treason &amp voter dems actually want health care sensible control &amp help little',GRP
'excuse hurricane expecting expecting honorable people corruption continue vote wake swamp need swamp',IND
'support dont need vote',GRP
'even respond cant speak full words',IND
'poor literally said fucked baby left daughters baby seat fighting',IND
'paper throwing seen around world ridiculous clown nation fail rescue puerto rico',IND
'good seems',IND
'disgrace defending wrong',IND
'made #maga mistake escape truth going useless stop #maga #wwg1wga #walkaway',IND
'claim anyway anything fool bigger',IND
'fuck lives',GRP
'corruption',OTH
'face consequences',GRP
'isnt considered hate speech liberals republican said democrats kinds hell hypocrisy expected',GRP
'even know whole bully',IND
'thinks success nothing control kids murdered schools people need guns',IND
'right sorry little',IND
'guess dont know talking proud antifa antifa',OTH
'lives chicago thinks control works face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy loudly_crying_face',OTH
'thanks fucker need hold chance miss',IND
'time vote liberals',GRP
'doesnt support better question hell believe someone liberals lying 24/7 shit california professor attacked lock many women attacks sense election',GRP
'hopefully dont shot control',IND
'disgusting response care daughter came home said thought going someone tried rape sick person minute america',IND
'thats convenient democrats must destroy wife children sake power power used conservatives',OTH
'literally told thought fake nice',IND
'complete idiot',IND
'media says antifa black racist white democrat blame violence stuff',OTH
'worst',IND
'waste time human waste',IND
'album boring took forever make wasnt even close',IND
'shes probably paid money ruin someones name away dont want democrat party pays money people make false accusations conservatives',GRP
'change control unconstitutional stupid thing laws books',GRP
'theres entire idea school shootings control laws passed',GRP
'think antifa stands fascists decent people look history bigots always',IND
'yeah antifa nothing violent thugs assault anyone everything',IND
'players stand players',GRP
'couldnt crap except divide country',IND
'white devil bitch',IND
'hope shows hole people getting things going happen antifa soon',OTH
'post conservatives ford liar without evidence',GRP
'problem antifa hundreds showed riot destroy',GRP
'nation utter nonsense',OTH
'bitch',IND
'fail realize even trump supporters decide force protest lunatic left white antifa really want keep level rhetoric',OTH
'give break worse',OTH
'shit',IND
'fact still nominee disgusting',IND
'poor full shit',IND
'grab pussy whats problem',IND
'ladies watch keep good work right gods bless heart standing president mean evil people dangerous want hope change america',GRP
'liberals idiots',GRP
'unfortunately control long game house always wins',IND
'christian false prophet',IND
'vote kavanaugh committed thinks president thinks abortion drugs',IND
'sick white liberals speaking black people saying love hillary lives matter woke enough keep bernie supporters know didnt care hillary lost trump',GRP
'fuck added lmao give',GRP
'lmaooo fucking love soon',IND
'guess victim shot place moron liberals screaming control control control self control',IND
'lost process turned clown show protestors democrats paid unethical hate shows trump group sides true democrats refuse denounce antifa democratic domestic terror',OTH
'evil',IND
'bastards right',IND
'believe everything tells left acting stupid senate hearing antifa hate filled',GRP
'fool',OTH
'bitch loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face',IND
'never talked control form',GRP
