@relation Train
@attribute Porter string
@attribute subtask_c {IND,OTH,GRP}
@data
'republicans constantly tell enforcement ignore control',OTH
'sending another',OTH
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy asses even truth truth lmao &amp know water damn cant even believe coming lying mouth',IND
'shit',IND
'fear white peopl',GRP
'another illegal antifa girl',IND
'trump called trudeau dishonest weak conservatives conservatives canada trump supporters accept fall trumps',IND
'loved first girl crush first heard hardcore',IND
'conservative antifa left wing terror group uses fascist tactics violence silence opposing views different brown shirts thug',OTH
'terrorist unfit hold public office proper supporting tory polit',IND
'reported time obvious truth isnt conservatives judges push legal &amp judge believes sitting potus',IND
'waiting liberals feed poor',IND
'thank standing decency liberal left tactics lies hour lefty liberal haters story outside #maga #tcot',OTH
'well unless live another country president long shot nobody wanted hillary cause knew useless obama policies noth',IND
'democrats prove crazi',OTH
'getting death dont wait',IND
'dude maga mean fuck dude much left grinning_squinting_face grinning_squinting_face grinning_squinting_fac',IND
'least know called',IND
'thats another crazy absolutely correct mess president head hand gone jail',IND
'coward',IND
'watching entire match serena lucky didnt match upset give warning coach even nothing wrong rule serena',IND
'hope trumps nobody noticed better dick happen soon thinking_face face_with_tears_of_joy',IND
'#conservatives proud',GRP
'thats tweets video games hurt feelings ahead block',IND
'earth think antifa needs funds anything nazis free business',GRP
'fuck dont care friend real friend losing anyone special cant even real friend that',IND
'#maga ignorant everyone knows tru',IND
'love stop racist',OTH
'bitch whole tweet bitches always talking shit back lmao admit',IND
'followed patriots already rest follow back #maga thumbs_up',GRP
'talking zero credibility anyone lied lied america back rock wife said going “the john “the george',IND
'find voice voice choice women need worry responsible sexual safety important #metoo already know',IND
'treason bloody',GRP
'talks bullshit walk',IND
'cause never happened gonna tweet shit make sure fact face_with_rolling_ey',IND
'utter left respect support think',GRP
'step show sense tear india apart working hard india shame liber',IND
'shit send good guess christian followers trump',GRP
'feel whoever still supports racist half black daughters daughter black dont family doesnt anything wrong support',OTH
'damn hope find bitch face_with_tears_of_joy bought lmaoooo',IND
'agree trump nazi control right playbook nazi comes control dems need',IND
'clown need maga nothing nothing less total fraud',IND
'innocent proven guilty think time think lying someone',IND
'lying tory party &amp tory party member refuse discuss tory party please total liar corrupt',GRP
'really country taking rest liber',GRP
'saved evil hillary clinton deep state going personally cant wait hillary brought military treason death believ',IND
'fake conservatives fake outrage budget',GRP
'understand someone know debate willing spend much time trying change mind someone dont know people control stupid wont understand',IND
'politician voted anyone believe democratic party agenda successful president economy idiot gave iran millions support terrorist',IND
'actually control using political accusing instead &amp paid obamas promise arrest kids racist',IND
'thats exactly gets',IND
'true idiot really scary people vote',IND
'crush beto make look idiot',IND
'crap',IND
'seen antifa burning college time conservative comes speak educate pleas',GRP
'guys',GRP
'shocking justice liberals start serving citizens americans great countri',OTH
'damn youre fucking',IND
'deal yeah cant find bathroom',IND
'elected president doesnt mean start serving people country well serve hiding pocket give break keep',IND
'nigga keep tryna play',IND
'happy broken time dropped door damn shit little know going fans thank',OTH
'nigga shit gone',IND
'trump fucking asshole think idiot friends hurt needs educated educate everyday talk everyday stfu',IND
'forget called actually voted doesnt truly',OTH
'dude seriously going sorry liberal self antifa protest',IND
'chicago nearly years crooked democrat leadership &amp strictest control nation blame feet thinking_face make mistake democrats',IND
'scare americans fake democratic platform corrupt problem supporting treason &amp voter dems actually want health care sensible control &amp help',GRP
'excuse hurricane honorable people corruption continue vote wake swamp need swamp',IND
'support dont need vot',GRP
'even respond cant speak full words limit',IND
'poor literally said fucked baby left daughters baby seat fight',IND
'paper throwing seen around world ridiculous clown nation fail puerto rico',IND
'good seems',IND
'disgrace defending wrong',IND
'made #maga mistake escape truth going useless stop #maga #wwg1wga #walkaway',IND
'claim anyway anything fool',IND
'fuck',GRP
'corrupt',OTH
'face',GRP
'isnt considered hate speech liberals republican said democrats kinds hell hypocrisy expect',GRP
'even know whole bulli',IND
'thinks success nothing control kids murdered schools people need gun',IND
'right sorry',IND
'guess dont know talking proud antifa antifa',OTH
'lives chicago thinks control works face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy loudly_crying_fac',OTH
'thanks need hold chance miss',IND
'time vote liber',GRP
'doesnt support better question hell believe someone liberals lying 24/7 shit california professor attacked lock many women attacks sense elect',GRP
'hopefully dont shot control',IND
'disgusting response care daughter came home said thought going someone tried rape sick person minute america',IND
'thats convenient democrats must destroy wife children sake power power used conserv',OTH
'literally told thought fake nice',IND
'complete idiot',IND
'media says antifa black racist white democrat blame violence stuff',OTH
'worst speak',IND
'waste time human',IND
'album boring took forever make wasnt even close',IND
'shes probably paid money ruin someones name away dont want democrat party pays money people make false accusations conserv',GRP
