@relation Train
@attribute SnowballStemmer123 string
@attribute subtask_a {NOT,OFF}
@data
'lying public doesnt trust anymor',OFF
'either shame going sham',OFF
'another',OFF
'least letters',NOT
'woman love star',NOT
'shows ugly party system liberals actually straight need leave democratic party party hatred leav',OFF
'great book pope francis last pope details corruption evil forces controlling vatican',OFF
'hate fucking sorri',OFF
'hear liberals loved fonda supported draft grew times knew fonda gone wrong supported burned draft cards serv',OFF
'nigga',OFF
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',NOT
'lindsey sean hannity talks chamber simply hear journalist news weird agenda supported well facts audience really laughable fool trump',OFF
'basically preaching religious world people',NOT
'coup detat going deep state liberals everything trump power absolutely ridicul',NOT
'come better nothing agents cash sell cash whatever rate demand supply play',NOT
'looks democrats right side history conservatives always wrong prove east side buck eaten',NOT
'every telling happened children clearly dont believe shit happened another stall tactic liber',OFF
'thinks youre full shit',OFF
'political corrupt establishment politicians voted cant bought soros afford',NOT
'need find lady thing terrorist waiting',OFF
'white antifa ones youve',NOT
'open everyone really shame liber',OFF
'good luck',NOT
'whose twitter interest start food even worthy responding unless professor food',NOT
'dumber shed twice week',OFF
'thanks comment right mark hope liberals &amp serious global &amp climate change real issue saving planet &amp life not',NOT
'#hollywood filled nerve mock #conservatives unemployment lin',OFF
'keep saying simply rhetoric people bible definition christian anymore christian conservatives public blacks often held public sunday church',NOT
'behind eating profits must',NOT
'antifa calling nazis calling kettle black',NOT
'past years figured never playing time heard supporters slow going starting next season',NOT
'people tired virtue signaling wealthy liberals never never know average american',NOT
'think original interview scare people congress handle kids media left oath attempt truth protected liberals congress',NOT
'something dont seem right year long massive shootings talk control makes think government behind crap',OFF
'conservatives',NOT
'lucki',NOT
'bafoonicus',OFF
'biased control',NOT
'never going happen million years unless soros bunch antifa pretend',OFF
'stealing hitting average hitting playing good defense definitely young look numbers',OFF
'beyond stunning give word stunning whole meaning #qanon #maga #qarmy #wwg1wga',NOT
'liking direction going needs make happy happiness l',NOT
'good morning welcom',NOT
'hell think doesnt mean guilty women accused voice right clear name needs',OFF
'liber',NOT
'moved libs group includes actually burned neighborhoods antifa specifically merely attempted cant point conservative groups burning neighborhoods attempt',NOT
'today collins back another excuse vote disgusting every wont stop working common',OFF
'good luck',NOT
'good shit',OFF
'anyone think lying opportunist',OFF
'young responses personally issue used protest forbid women dont access safe abortion method attempt teen girl',NOT
'didnt speak paris cant breath',NOT
'bullshit people died incompetent government puerto rico start mayor stop lying gutierrez',OFF
'christine ford saying percent sure kavanaugh better know sure dont waste american peoples time sure charges senate committee questions need answ',NOT
'news trudeau govt cover forget propaganda machine left liber',NOT
'really bitch',OFF
'perfect',NOT
'agreed fuck',NOT
'political corruption texans among liberals large favor limits campaign spending high cost campaigning many good candidates running',NOT
'shes trying better person trying save horrible th',NOT
'remember theory might apply chicago',OFF
'another made word used liberals attempt criticism ridiculous hypocrisi',OFF
'know likely fake profile conservatives unhinged report chest',NOT
'america destroyed president cancer democraci',OFF
'wrong muslims seeing british people away blame liberals letting happen',NOT
'right amendment allows liberals guns well liberia liberia liberia liberia liberia liberia liberia liberia',NOT
'right punish thats ticket getting conserv',NOT
'alex fuckin beauti',NOT
'sure shes worried give break dana know make living healthcare dirt bags dont even crying control',OFF
'billy bargain thumbs_up',OFF
'100% death threats thing disgusting party says antifa dangerous resistance group kavanaugh family death threats minds want know',OFF
'know good friends help imagine seem upset people',NOT
'word johnson used regret asked fear johnson must thought emotions didnt accept alone doesnt love face_savoring_food',NOT
'book read speaking hope',NOT
'thank following back slightly_smiling_face #ccot #maga #walkaway',NOT
'double_exclamation_mark people defeat double_exclamation_mark #maga',NOT
'face_with_tears_of_joy face_with_tears_of_joy',OFF
'even antifa mocking face_with_tears_of_joy',NOT
'everyone home taking kne',NOT
'fucking tall behind dud',OFF
'politics #brexit (and start look hill episode #brexiteers #conservatives #peoplesvot',NOT
'kamala harris speaks disagrees fashion find want bald headed full angry_face pouting_face face_with_steam_from_nos',NOT
'sure woman mostly throw insults mean ugly feminist women penis',OFF
'prime example walk away movement born democrats nothing liars decent people democrats stand behind tactics antifa destroying peoples lives political reasons democrat years walked away',NOT
'players based line offense course used receiver thats indeed glad made sorry expect everyone responds agre',NOT
'bcashhhhhhhhhhconnectttt',NOT
'poor snowflake #maga',OFF
'crazy person',OFF
'amen',NOT
'represents conservatives',NOT
'writes vile garbage points comments goes talking mean liberals picking always play victim card bully someone',NOT
'need control many mass shootings country thank president clinton leading great real leadership',NOT
'besides liber',NOT
'antifa scumbag trying explain trump black trump supporter',NOT
'level crazy havent read anything posted claiming person tell &amp name woman whos dead',NOT
'conservatives trailer trash party canada',OFF
'exactly describing steps forward three steps back',NOT
'#lpfirsttime comingggg',NOT
'republican party dont anything control people killed reason republican party dont anything killing republicans trying america',OFF
'shit year literally play gam',NOT
'even career start album hype zero release album face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy hype zero',OFF
'words express valid',NOT
'fool denying ones free speech deny free speech',OFF
'tweet democrat expect tweets political candidates liber',NOT
'breitbart hero sur',NOT
'shit last left problems fire bett',NOT
'worry college fame clu',NOT
'calling still superman long time think letting thing road theyre going gear steel',NOT
'unfortunately laws state even cities compare chicago extreme control york almost level chicago horrible crime extent criminals problem',NOT
'yesterday',NOT
'girls fault well right hard line republic interested victim aunt thing mouth sham',NOT
'love watching election night 2016 watch media complet',NOT
'words control',NOT
'nigger',NOT
'criminals canada parliament british military intelligence told parliament latest criminals vote treason',NOT
'ador',NOT
'dang fans salaries know rolling_on_the_floor_laughing winking_face_with_tongue winking_face_with_tongue winking_face_with_tongu',NOT
