@relation Train
@attribute Lancaster string
@attribute subtask_a {NOT,OFF}
@data
'republican senate already know wont release documents',NOT
'people thus died including child morning fake news little mind think look talk maga friends much',NOT
'thank kind smiling_face_with_hearteyes loudly_crying_face two_hearts two_hearts two_hearts two_hearts',NOT
'moment liberals called feminists shame never stood real issues related',NOT
'everyone life story excuse aggressive anyone blame producer onto show clearly well &amp shouldnt position happen management allowed either',OFF
'woman onto stage',NOT
'pack angry_face #nfl',NOT
'#gop #republicans #conservatives proven male pigs women #kavanaugh',NOT
'yall gonna fight control yall laughing literally pulling shooting',OFF
'party violent liberal antifa hoods beating strangers know nothing great &amp honest good keith ellison women tell',OFF
'antifa terrorist organization protest trump needs declare shut proper',NOT
'#antifa members',NOT
'bitch love sparkling_heart',OFF
'honestly know stupid actually surprising dumb easily people country hell shit every white screaming maga',OFF
'vote know found fraud',OFF
'totally shown narcissist comment umpire never matches long lives think defeat disgrace sport',OFF
'coward cant feel judge others looks sure people call regular',OFF
'shes fine starts gets gets right face dogs walked times suffering shes spoiled',NOT
'shitty thats',OFF
'bitch daily reminder love',OFF
'better lies used think better person cant anything evil',NOT
'hope shes wrong',NOT
'asking question senator acting baby really adults shame shame',OFF
'potential first round series wouldnt nic',NOT
'happy #constitutionday trigger millions liberals dont believe constitution #maga',NOT
'liberals taken every major city worth',NOT
'fuck',OFF
'voting progressive agenda means control senate must hopefully house conservatives local level keep progressive agenda public schools',NOT
'skull probably playing super easy home',OFF
'hopefully interviewed possibly past students said little kavanaugh questions monday',NOT
'passing money outside',NOT
'bright',OFF
'moron real americans proud accomplishments disgusting showing truth',OFF
'right wing scream time talk things control school gets shot exactly time people paying attention someone lost life something horrible &amp',OFF
'true poor basement',OFF
'snowflake maga week standards',NOT
'really think squad left message read says fear fear coming room start',NOT
'dont agree want real play fucking soooo boring shes stupid',OFF
'lunatic democrats politicians antifa george soros think money talk lunatic money money gold',OFF
'president trumps wave judicial #tcot #maga #rednationrising',NOT
'know liberals love conservatives review memory past',NOT
'today think good actor',NOT
'fuckin knows point',OFF
'&amp',OFF
'apparently think gotten fired said something years people took trans dont remember',NOT
'liberals theres lots prejudice migrants opposition prejudice requires seeing distinction citizens migrants prejudice',NOT
'gotta give credit competing',OFF
'politicians selling country drain',OFF
'shit real research gets done',OFF
'california control laws prevented',OFF
'ahhh picked antonio already team',NOT
'fartac',NOT
'quite good must done numerous times',OFF
'pope folded_hands',NOT
'pathetic',NOT
'players trust doesnt really believe',NOT
'actually control advocate long time bothered little research',NOT
'skull beat letting',OFF
'absolutely',NOT
'bitter',OFF
'even believe antifa legitimate reason',NOT
'but',OFF
'proud antifa',NOT
'goddess',NOT
'easy elites escape hell country policies force private home beyond golden',NOT
'cute fuck',OFF
'meme',OFF
'sort control nothing seem really good nothing',OFF
'chances penis confused thousand shes remember specific pizza pizza years looks dems ancient memory based accusations #confirmkavanaughnow #maga',OFF
'takes google search help uneducated liberal',OFF
'antifa finally dies suicide nice',OFF
'worry become making national party',NOT
'impossible whoever knock door even girls good',NOT
'proud owner control definitely plenty problem much better',NOT
'eric crook thats',OFF
'said many times liberals conservatives sides back pocket wealthy canadians',OFF
'former',NOT
'course probably record',NOT
'know never #votethemout #maga',NOT
'welcome twitter must missed entire week tweets talking doomed maga running football',NOT
'think pope others prosecuted covering protecting child rapists',OFF
'dont hold breath waiting going years president trump',NOT
'people dead shooting california thoughts &amp prayers working good control',OFF
'mastermind forget',OFF
'midterms reading creating understand made america great first place #maga #kag',NOT
'censored potentially sensitive material #qanon #wwg1wga',NOT
'idiot smart either',OFF
'minute never vote liberal thing moderate acceptable liberal mean hide hate scum fool think give shit',OFF
'anyone friends antifa worth following',NOT
'maga mike tweet know pissed funny',NOT
'holy shit lawyer false football player head',OFF
'conservatives wont sides heard private public actual event girl',NOT
'shit',OFF
'jones banned violating blue spewing worse kind shit going play anyone banned card shouldnt people receive',OFF
'think',NOT
'start',NOT
'funny thing lewis blocked face_with_tears_of_joy dont cause support lewis dont know whats well throw',NOT
'trump beat obama results thats true difference lies',NOT
'thought funny great player though',NOT
'republ',NOT
'awww sad_but_relieved_face sad_but_relieved_face sad_but_relieved_face suck pouting_face pouting_face pouting_face pouting_face pouting_face pouting_face',OFF
'violent liberals antifa hoods beating strangers know nothing exactly comes mind dems care anything either care human life people beat black conservatives friend attacked',NOT
'another really stupid single issue anything gets core beliefs',OFF
'shes great comedian',OFF
'calling party britain seriously must investigate likes',NOT
'know going route venezuela going turn sovereign fund personal bank',NOT
'think hoping someone somewhat care even',OFF
'yeah antifa streets winking_face',NOT
'cool deserves getting excited role movie',NOT
'thank folded_hands red_heart united_states wonderful #maga',NOT
'',OFF
'liberals tell definition middle class dont seem know term ordinary canadians born canadians special love answer liberals mute point told',NOT
'little beating giants position',NOT
'womans away claimed prince county investigated threat wednesday joint base reports woman said refused leave #maga',NOT
'president trump promises real reason hated',OFF
'anybody thinks control needs reality check life',NOT
'antifa means fascism people used word antifa twitter group altright fascist white supremacist neonazis americans',NOT
