@relation Train
@attribute Porter string
@attribute subtask_b {UNT,TIN}
@data
'skull probably playing super easy hom',TIN
'bright',TIN
'moron real americans proud disgusting showing truth',TIN
'right wing scream time talk things control school gets shot exactly time people paying attention someone lost life something horrible &amp prevent',UNT
'true poor',UNT
'dont agree want real play fucking soooo boring shes stupid',TIN
'lunatic democrats politicians antifa george soros think money talk lunatic money money',TIN
'fuckin knows point',UNT
'&amp',UNT
'gotta give credit',TIN
'politicians selling country',TIN
'shit real research gets',TIN
'california control laws',TIN
'quite good must done tim',TIN
'skull beat',TIN
'bitter',TIN
'butt',UNT
'cute fuck',TIN
'meme',TIN
'sort control nothing seem really good noth',TIN
'penis shes remember specific pizza pizza years looks dems ancient memory based accusations #confirmkavanaughnow #maga',TIN
'takes google search help uneducated liber',UNT
'antifa finally suicide nic',TIN
'eric crook that',TIN
'said many times liberals conservatives sides back pocket canadian',TIN
'think pope others prosecuted covering protecting child rapist',TIN
'people dead shooting california &amp working good control',UNT
'forget',TIN
'idiot smart eith',TIN
'minute never vote liberal thing liberal mean hide hate scum fool think give shit',TIN
'holy shit lawyer false football player head',TIN
'shit',TIN
'jones blue spewing worse kind shit going play anyone card shouldnt people',TIN
'suck pouting_face pouting_face pouting_face pouting_face pouting_face pouting_fac',UNT
'another really stupid single issue anything gets',TIN
'shes great comedian',TIN
'think hoping someone care even ugli',TIN
'',UNT
'president trump real reason h',TIN
'fault isnt make father anything father coward question hand throat tim',TIN
'beto control leave',TIN
'control',UNT
'even theyd call &amp &amp maga',UNT
'expect message trump says collusion gonna someone #resist #maga',TIN
'actual',TIN
'tell suck sur',TIN
'president isnt anything thats much',TIN
'favor control thats correct',TIN
'thing antifa coward bitches smart tough',TIN
'forget speak speak delusional disgusting truth worth trash pick com',TIN
'sick dud',TIN
'liberals investigate liberals believe trump investigation private citizen',TIN
'antifa anti fascist told wouldnt throw unless',TIN
'bodi',UNT
'canadian live canada special forces everything anti weapons control fucking part country many morons gun',TIN
'fault',TIN
'#maga good days',TIN
'hahaha lunatic liberals busy still dont',TIN
'needs husband investigated deals post office deals',TIN
'well weve fucked almost',TIN
'bitch wanna know',TIN
'still going jail',TIN
'fucked world free bullshit jail even investigated',TIN
'absolutely hilarious liberals',TIN
'fool',TIN
'shes',TIN
'isnt much liberals ignorant know many things arent',TIN
'really side mess people cardi talking bout shit',TIN
'gone high rolling_on_the_floor_laugh',TIN
'wonder dems idiots fine example teach dems grow become president antifa',TIN
'hate speech main stream media need daily democrats liberals progressives look &amp hate speech',TIN
'come liberals dont quest',UNT
'full shit',TIN
'talking dont need need skull face_with_tears_of_joy',TIN
'dropped going deal',UNT
'thats true theresa call conservatives enough',TIN
'republican party sexually girl judge sitting highest court land making womens health #maga',TIN
'dope',TIN
'conservatives mean people work taxes help support people guess dumb thinking instead wanting start paying taxes much love spend',TIN
'weird hunt goal find feels need prove didnt care enough either going unamused_fac',UNT
'sorry asked',TIN
'clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands gets negative anyone always defending behavior show little girl clapping_hands clapping_hands clapping_hands clapping_hands',TIN
'done deal said said shes leftist antifa',TIN
'seriously lying',TIN
'pussy different times never black life',TIN
'long went quite pays pointing remember getting guys assholes',TIN
'liar proven whole argument fake new',TIN
'clinton class response idiot likely land twitter jail totally worth hope offic',TIN
'conservatives keep telling million immigrants ruining economy numbers several times help',TIN
'#conservatives must answer crimes',TIN
'refugees destroy country radical countries',TIN
'isnt propaganda pushing lobby group cares idea rest looks ar15 stuck',TIN
'majority evidence control',TIN
'sorry democratic party party hate antifa finally back office economy people jobs liberal people trashy ignorant things',TIN
'fuck thats racist dont wanna dude call selfish wanted report',TIN
'think victim feels sure fine death threats shes getting fine christian conserv',UNT
'done knowledge base drunk li',TIN
'vote cruz beto part deep state turn control back liber',TIN
'stop pretending catholic church seat satan earth',TIN
'absolutely furious fellow conservatives sounds credible true guys memory goes back',TIN
'shes liberal school shes healthy shes antifa stop conservative judge president trump even',TIN
'among friends terrorist loves terrorist',TIN
'creepy pedo desperately trying relevant world trump',TIN
'trump done',TIN
'antifa holding position police racist killed call attacking enforcement attacking cancer body attacking body even system',TIN
'tough easy hold fucking hard',TIN
'still remember show sucks',UNT
'girl said wish money concert reaction lmao',TIN
'vile trying bitch time knows thats control conversation paper',TIN
'saying worse clue shits gonna terrible thats case gonna',TIN
'liar clinton',TIN
'liberals',TIN
'cant even listen idiotic liberals seem',TIN
'allowed control wouldnt happen',TIN
'really thought come back',TIN
'#republicans grow start playing dirty liberals asshol',TIN
'fake news propaganda enemy countri',TIN
'brain america maybe brain',TIN
'cause theyre asshol',TIN
'still find hilarious people think literally response comment liberals upset getting liberal upset kind',TIN
'woman town asshole followed home beat',TIN
'nuts devil',TIN
'thats government funded used argue control guns home dont make quite',TIN
'vote known racist',TIN
'amazing democrats always leading polls liberals live polls control liberals insan',TIN
'worth cock smiling_face_with_sunglass',TIN
'swear glad never drunk shit tryna',UNT
'presid',TIN
'suck',TIN
'love cops much make goal away need stop crime lives risk support antifa thugs assault cops cops bastard',TIN
'liberals really hate &amp message republicans really need advantage democrats enough party &amp want policy &amp insult',TIN
'#liberals #conservatives &amp &amp &amp &amp',TIN
'arent making woman making liberals supporting covering womans body garbage might rape given',TIN
'#kavanaugh cant back couldnt back charge follow dems back congress conservatives high crimes &amp',TIN
'part knows shes sick knows crook life shes sick woman soul',TIN
'fucking doesnt matter found dead secret dead ignorant',UNT
'left leaning freak attacks attack back many conservatives happy complaining fire people left energy lots things dont change going',TIN
'communist destroying america lock united_st',TIN
'speaking drug &amp',UNT
'yeah sure antifa antifascist free speech everyone liberals conservatives fascists communists live fascist state thinks hate speech',TIN
'somehow trump helping wonderful things wanted away religion',TIN
'talking leader seeing',TIN
'bitch took years',TIN
'looking extra tory 2018 must nightmare still politically tories dont want',TIN
