@relation Train
@attribute Lemmatized string
@attribute subtask_b {UNT,TIN}
@data
'media stop happens view perhaps view conservative america wanted know voices watch rest busy watching hollywood liberals',TIN
'alternative people died hurricane half',TIN
'hows fund page working believe anita antifa left full crap keep drinking smoking',TIN
'dear made youre view left hate president youre moron running hope beat',TIN
'right thing #liberals #democrats rapists criminals kiss white',TIN
'good start people worst administration history obama help blacks hispanics president sent plane filled cash iran sent guns mexico kill people start control riot started riot',TIN
'yall bitches',TIN
'antifa needs good beating',TIN
'completely reasonable govt lied plane hitting clearly backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone',TIN
'million kids poverty screwed universal credit system economy list common building country nothing',TIN
'snowflakes liberals',TIN
'republicans constantly tell enforcement ignore control',TIN
'shit',UNT
'sending another',TIN
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy asses even truth truth lmao &amp know water damn cant even believe coming lying mouth',TIN
'shit',TIN
'fear white people',TIN
'another illegal antifa girl',TIN
'trump called trudeau dishonest weak conservatives conservatives canada trump supporters accept fall trumps table',TIN
'loved first girl crush first heard hardcore',TIN
'conservative antifa left wing terror group uses fascist tactics violence silence opposing views different brown shirts thugs',TIN
'terrorist cronies unfit hold public office proper supporting tory politically',TIN
'reported time obvious truth isnt qualified conservatives judges push legal jeopardy &amp judge believes sitting potus',TIN
'waiting liberals feed poor families',TIN
'thank standing decency liberal left tactics lies hour lefty liberal haters story outside #maga #tcot',TIN
'well unless live another country president long shot nobody wanted hillary cause knew useless obama policies nothing',TIN
'democrats prove crazy',TIN
'getting death dont wait',TIN
'dude maga mean fuck dude much left grinning_squinting_face grinning_squinting_face grinning_squinting_face',TIN
'least know called',TIN
'thats another crazy absolutely correct mess president head hand gone jail monster',TIN
'coward',TIN
'watching entire match serena lucky didnt match upset give warning coach even nothing wrong rule serena',TIN
'hope trumps nobody noticed better dick happen soon thinking_face face_with_tears_of_joy',TIN
'#conservatives proud',TIN
'abhorrent',UNT
'thats tweets video games hurt feelings ahead block',TIN
'earth think antifa needs funds anything nazis free business',TIN
'fuck dont care friend real friend losing anyone special cant even real friend thats',TIN
'#maga ignorant everyone knows true',TIN
'love stop racist',TIN
'bitch whole tweet bitches always talking shit back lmao admit',TIN
'followed patriots already rest appreciate follow back #maga thumbs_up',TIN
'talking zero credibility anyone lied lied america back rock wife said going “the john “the george',TIN
'find voice voice choice women need worry responsible sexual safety important #metoo already know',TIN
'shit different',UNT
'treason bloody somewhere',TIN
'talks bullshit',TIN
'cause never happened gonna tweet shit make sure fact face_with_rolling_eyes',TIN
'utter left respect support think',TIN
'step show sense india apart working hard india shame liberals',TIN
'almost shot gang want victims later control rights grab false flag trump',UNT
'shit send florence good guess christian followers trump',TIN
'feel whoever still supports racist half black daughters daughter black dont family doesnt anything wrong supporting',TIN
'damn hope find bitch face_with_tears_of_joy bought yesterday lmaoooo',TIN
'agree trump nazi control right playbook nazi comes control dems need',TIN
'clown need maga nothing nothing less total fraud',TIN
'innocent proven guilty think time think lying someone paying',TIN
'grinning_face grinning_squinting_face face_with_tears_of_joy rocks #maga thumbs_up',UNT
'really fool',UNT
'lying tory party &amp tory party member refuse tory party please total liar corrupt',TIN
'really country taking rest liberals',TIN
'saved evil hillary clinton deep state going personally cant wait hillary brought military treason death believe',TIN
'fake conservatives fake outrage budget',TIN
'understand someone know debate willing spend much time trying change mind someone dont know people control stupid wont understand',TIN
'qualified politician voted anyone believe democratic party agenda discredit successful president economy idiot gave iran millions support terrorist',TIN
'actually control using political accusing instead &amp paid obamas promise arrest kids racist',TIN
'thats exactly gets',TIN
'true idiot really scary people vote november',TIN
'crush beto make look idiot',TIN
'fuck',UNT
'crap',TIN
'seen antifa burning college time conservative comes speak educate please',TIN
'guys',TIN
'shocking style justice liberals start serving citizens americans great country',TIN
'shit',UNT
'damn youre fucking',TIN
'love plan comes together #maga',UNT
'deal yeah cant find',TIN
'elected president doesnt mean start serving people country well serve hiding give break keep',TIN
'nigga keep tryna play sides',TIN
'intelligent woman knows crap people standing evil powerful stop nothing destroy',UNT
'happy broken time dropped door damn shit little know going fans thank',TIN
'nigga shit gone hundred_points',TIN
'trump fucking asshole think idiot friends hurt needs educated educate everyday talk everyday stfu',TIN
'forget called actually voted doesnt truly',TIN
'cute',UNT
'dude seriously going sorry liberal self antifa protest',TIN
'chicago nearly years crooked democrat leadership &amp strictest control nation durbin blame feet thinking_face make mistake democrats',TIN
'scare americans fake democratic platform corrupt problem supporting treason &amp voter dems actually want health care sensible control &amp help little',TIN
'excuse hurricane expecting expecting honorable people corruption continue vote wake swamp need swamp',TIN
'support dont need vote',TIN
'even begin respond cant speak full words',TIN
'poor literally said fucked baby left daughters baby seat cardi fighting',TIN
'paper throwing seen around world looked ridiculous clown nation fail rescue puerto rico',TIN
'good seems',TIN
'disgrace defending wrong',TIN
'made #maga mistake escape truth going useless stop #maga #wwg1wga #walkaway',TIN
'claim anyway anything fool bigger',TIN
'fuck lives',TIN
'corruption',TIN
'face consequences',TIN
'isnt considered hate speech liberals republican said democrats kinds hell hypocrisy expected',TIN
'even know whole bully',TIN
'thinks success nothing control kids murdered schools people need guns',TIN
'right sorry little',TIN
'guess dont know talking proud antifa antifa',TIN
'lives chicago thinks control works face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy loudly_crying_face',TIN
'thanks fucker need hold chance miss',TIN
'time vote liberals',TIN
